ID,condition,trialType,objects,ratings
745,BB,Experimental,A,0.914
746,BB,Experimental,B,0.89
747,BB,Experimental,C,0.89
748,BB,Experimental,A,0.915
749,BB,Experimental,B,0.883
750,BB,Experimental,C,0.889
751,BB,Experimental,A,0.908
752,BB,Experimental,B,0.891
753,BB,Experimental,C,0.891
754,BB,Experimental,A,0.915
755,BB,Experimental,B,0.883
756,BB,Experimental,C,0.892
757,BB,Experimental,A,0.912
758,BB,Experimental,B,0.891
759,BB,Experimental,C,0.888
760,BB,Experimental,A,0.907
761,BB,Experimental,B,0.883
762,BB,Experimental,C,0.891
763,BB,Experimental,A,0.915
764,BB,Experimental,B,0.891
765,BB,Experimental,C,0.89
766,BB,Experimental,A,0.912
767,BB,Experimental,B,0.885
768,BB,Experimental,C,0.886
769,BB,Experimental,A,0.914
770,BB,Experimental,B,0.883
771,BB,Experimental,C,0.892
772,BB,Experimental,A,0.908
773,BB,Experimental,B,0.892
774,BB,Experimental,C,0.889
775,BB,Experimental,A,0.913
776,BB,Experimental,B,0.89
777,BB,Experimental,C,0.891
778,BB,Experimental,A,0.911
779,BB,Experimental,B,0.891
780,BB,Experimental,C,0.883
781,BB,Experimental,A,0.913
782,BB,Experimental,B,0.889
783,BB,Experimental,C,0.883
784,BB,Experimental,A,0.913
785,BB,Experimental,B,0.888
786,BB,Experimental,C,0.89
787,BB,Experimental,A,0.91
788,BB,Experimental,B,0.891
789,BB,Experimental,C,0.886
790,BB,Experimental,A,0.912
791,BB,Experimental,B,0.888
792,BB,Experimental,C,0.891
793,BB,Experimental,A,0.912
794,BB,Experimental,B,0.892
795,BB,Experimental,C,0.883
796,BB,Experimental,A,0.909
797,BB,Experimental,B,0.891
798,BB,Experimental,C,0.892
799,BB,Experimental,A,0.915
800,BB,Experimental,B,0.886
801,BB,Experimental,C,0.887
802,BB,Experimental,A,0.911
803,BB,Experimental,B,0.892
804,BB,Experimental,C,0.883
805,BB,Experimental,A,0.915
806,BB,Experimental,B,0.892
807,BB,Experimental,C,0.891
808,BB,Experimental,A,0.912
809,BB,Experimental,B,0.892
810,BB,Experimental,C,0.883
811,BB,Experimental,A,0.915
812,BB,Experimental,B,0.884
813,BB,Experimental,C,0.892
814,BB,Experimental,A,0.914
815,BB,Experimental,B,0.891
816,BB,Experimental,C,0.891
817,BB,Experimental,A,0.915
818,BB,Experimental,B,0.892
819,BB,Experimental,C,0.888
820,BB,Experimental,A,0.908
821,BB,Experimental,B,0.884
822,BB,Experimental,C,0.891
823,BB,Experimental,A,0.908
824,BB,Experimental,B,0.887
825,BB,Experimental,C,0.891
826,BB,Experimental,A,0.907
827,BB,Experimental,B,0.892
828,BB,Experimental,C,0.883
829,BB,Experimental,A,0.908
830,BB,Experimental,B,0.891
831,BB,Experimental,C,0.892
832,BB,Experimental,A,0.911
833,BB,Experimental,B,0.884
834,BB,Experimental,C,0.884
835,BB,Experimental,A,0.912
836,BB,Experimental,B,0.891
837,BB,Experimental,C,0.883
838,BB,Experimental,A,0.913
839,BB,Experimental,B,0.884
840,BB,Experimental,C,0.886
841,BB,Experimental,A,0.908
842,BB,Experimental,B,0.89
843,BB,Experimental,C,0.89
844,BB,Experimental,A,0.915
845,BB,Experimental,B,0.883
846,BB,Experimental,C,0.888
847,BB,Experimental,A,0.912
848,BB,Experimental,B,0.891
849,BB,Experimental,C,0.883
850,BB,Experimental,A,0.91
851,BB,Experimental,B,0.889
852,BB,Experimental,C,0.884
853,BB,Experimental,A,0.911
854,BB,Experimental,B,0.883
855,BB,Experimental,C,0.887
856,BB,Experimental,A,0.911
857,BB,Experimental,B,0.888
858,BB,Experimental,C,0.891
859,BB,Experimental,A,0.915
860,BB,Experimental,B,0.883
861,BB,Experimental,C,0.883
862,BB,Experimental,A,0.908
863,BB,Experimental,B,0.891
864,BB,Experimental,C,0.883
865,BB,Experimental,A,0.915
866,BB,Experimental,B,0.891
867,BB,Experimental,C,0.888
868,BB,Experimental,A,0.91
